№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
2661,613635700,10,ВОЛС,Туркестанская область,Байдибекский,Акбастауский,с.Туракты,"42.856745181873364, 69.72198479340051",616,2026,171,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"9,55","9,55","9,55"
2662,613637300,"3,5",ВОЛС,Туркестанская область,Байдибекский,Алгабасский,с.Танатар,"43.06189507844694, 69.42155602755825",908,2026,24,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2663,613639100,5,ВОЛС,Туркестанская область,Байдибекский,Алмалинский,с.Алмалы,"43.03784166988469, 69.88536352324085",614,2026,162,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2664,613639200,"2,5",ВОЛС,Туркестанская область,Байдибекский,Алмалинский,с.Жарыкбас,"43.04558806718477, 69.85270489978554",639,2026,178,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2665,613649400,"3,5",ВОЛС,Туркестанская область,Байдибекский,Богенский,с.Жиенкум,"42.859765018628224, 69.054887317222",834,2026,232,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"11,4","11,4","11,4"
2666,613649500,16,ВОЛС,Туркестанская область,Байдибекский,Богенский,с.Саркырама,"42.850426581552, 69.40733860568682",818,2026,215,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"10,97","10,97","10,97"
2667,613645300,4,ВОЛС,Туркестанская область,Байдибекский,Боралдайский,Ж.Боролдай,"42.78438663293657, 69.64939227943839",3154,2026,830,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2668,613645500,4,ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Акжар,"42.74915494820253, 69.58317522013063",229,2026,64,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2669,613645200,"10,5",ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Амансай,"42.66818858499698, 69.7627329589999",880,2026,232,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"5,67","5,67","5,67"
2670,613645400,9,ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Жыланды,"42.72473451725158, 69.67003585737457",852,2026,237,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"5,45","5,45","5,45"
2671,613645580,"6,5",ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Каратас,"42.831675911744206, 69.73809830013545",587,2026,163,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"0,3","0,3","0,3"
2672,613645600,"8,5",ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Сарыбулак,"42.67202261732274, 69.84017367779688",818,2026,215,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"4,8","4,8","4,8"
2673,613645800,7,ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Талап,"42.70091885267018, 69.79176520298488",679,2026,189,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"2,35","2,35","2,35"
2674,613645880,5,ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Теректи,"42.83550748580192, 69.77558485052597",1006,2026,265,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"2,39","2,39","2,39"
2675,613645900,10,ВОЛС,Туркестанская область,Байдибекский,Боралдайский,с.Туйетас,"42.623301819921906, 69.70926050709706",780,2026,205,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"14,6","14,6","14,6"
2676,613647300,7,ВОЛС,Туркестанская область,Байдибекский,Борлысайский,с.Кенсай,"42.88797648979808, 70.14440057248903",766,2026,213,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2677,613647400,"10,5",ВОЛС,Туркестанская область,Байдибекский,Борлысайский,с.Кошкар ата,"42.89921358750415, 70.10386687685912",935,2026,260,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2685,613659200,2,ВОЛС (Wi-Fi public),Туркестанская область,Байдибекский,Мынбулакский,с.Акбулак,"43.175264, 69.076984",72,2027,20,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"14,69","14,09","14,69"
2679,613653200,27,ВОЛС,Туркестанская область,Байдибекский,Жамбылский,с.Жузимдик,"43.07111283666462, 69.13955919980539",674,2026,211,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"20,68","20,27","20,27"
2680,613653300,6,ВОЛС,Туркестанская область,Байдибекский,Жамбылский,с.Кызыл жар,"42.954278758701086, 69.0230548273413",104,2026,29,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2681,613653500,9,ВОЛС,Туркестанская область,Байдибекский,Жамбылский,с.Таскудук,"42.902013826299935, 69.17670248192888",513,2026,143,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"6,86","6,86","6,86"
2682,613653600,"2,5",ВОЛС,Туркестанская область,Байдибекский,Жамбылский,с.Шыбыт,"42.98791687076735, 69.34347159052122",511,2026,142,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2683,613655100,"3,3",ВОЛС,Туркестанская область,Байдибекский,Коктерекский,с.Бирлик,"42.99758474018493, 69.5258187938942",574,2026,151,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"4,33","4,33","4,33"
2684,613655200,"2,5",ВОЛС,Туркестанская область,Байдибекский,Коктерекский,с.Ынтымак,"43.00743899520866, 69.45882783407995",507,2026,141,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2692,613865300,4,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Атамекенский,Ғарышкер (с.Гагарин),"40.844008, 68.146880",163,2027,45,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2686,613659300,16,ВОЛС,Туркестанская область,Байдибекский,Мынбулакский,с.Бестогай,"43.245820050434226, 69.17095178097085",424,2026,118,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"17,52","17,285","17,52"
2687,613659400,12,ВОЛС,Туркестанская область,Байдибекский,Мынбулакский,с.Кайнар,"43.31477973668793, 69.04896490446512",923,2026,231,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,,,
2688,613659500,"7,5",ВОЛС,Туркестанская область,Байдибекский,Мынбулакский,с.Косбулак,"43.230695123033506, 68.95714761923166",495,2026,138,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"4,83","4,585","4,83"
2689,613659600,5,ВОЛС,Туркестанская область,Байдибекский,Мынбулакский,с.Мадениет,"43.18415872545271, 68.95050644926634",490,2026,136,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"10,33","10,14","10,33"
2690,613659100,4,ВОЛС,Туркестанская область,Байдибекский,Мынбулакский,с.Мынбулак,"43.221259074842344, 69.01294818060421",1894,2026,498,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.10.2026,"2,55","2,4","2,4"
2691,613833600,5,ВОЛС,Туркестанская область,Жетысайский,Абайский,Атажұрт,"41.005427, 68.246530",434,2027,121,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2693,613865200,5,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Атамекенский,с.Алимбетов,"40.89701, 68.09440",123,2026,34,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2694,613865980,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Атамекенский,с.Тын дала,"40.859816, 68.026055",309,2026,86,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2696,613849480,"3,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Дильдабеков,Байдала (с.Жданов),"40.932969, 68.399447",954,2026,265,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2695,613849500,3,ВОЛС,Туркестанская область,Жетысайский,Дильдабеков,Алпамыс (с.Женис),"40.911497, 68.397232",649,2026,180,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2697,613849580,1,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Дильдабеков,Кемер (с.Кирпичное),"40.973432, 68.395085",498,2026,138,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"7,85","7,57","7,85"
2699,613849280,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Дильдабеков,с.Бирлик,"40.937633, 68.417471",873,2026,243,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2698,613849600,5,ВОЛС,Туркестанская область,Жетысайский,Дильдабеков,Күрішті (с.Карисауыл),"40.971481, 68.426032",179,2026,50,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"1,99","1,99","1,99"
2703,613849700,2,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Дильдабеков,Сырабат (с.Ленинабад),"40.949431, 68.423166",1356,2026,377,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2700,613849300,7,ВОЛС,Туркестанская область,Жетысайский,Дильдабеков,с.Достык,"40.914011, 68.386380",981,2026,273,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"1,29","1,29","1,29"
2701,613849800,5,ВОЛС,Туркестанская область,Жетысайский,Дильдабеков,с.Сайлау,"40.929669, 68.411650",1112,2026,309,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2702,613849900,4,ВОЛС,Туркестанская область,Жетысайский,Дильдабеков,Сұлу бұлақ (с.Чкалов),"40.949738, 68.414812",1151,2026,320,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2706,613839500,2,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Ж.Ералиев (Арайский),Жетыкубыр (с.Жамбыл),"40.871509, 68.256254",165,2026,46,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"1,85","1,85","1,85"
2704,613839580,11,ВОЛС,Туркестанская область,Жетысайский,Ж.Ералиев (Арайский),Байтерек (Алимбетов (Жданов),"40.905745, 68.291545",1436,2026,399,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,3,"2,86",3
2705,613839680,"5,5",ВОЛС,Туркестанская область,Жетысайский,Ж.Ералиев (Арайский),Жетіқазына (с.Кызыласкер),"40.919747, 68.317763",1160,2026,322,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"12,7","12,28","12,7"
2707,613839200,5,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Ж.Ералиев (Арайский),с.Ак жайлау,"41.016798, 68.123452",225,2026,63,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2708,613839400,"3,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Ж.Ералиев (Арайский),с.Жагажай (Достык),"41.011960, 68.307935",275,2027,76,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2709,613839280,3,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Ж.Ералиев (Арайский),с.Жазыксай (Амангелды),"40.883535, 68.265274",248,2026,69,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"3,48","3,46","3,48"
2711,613867300,2,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Каракайский,С.Еңбек,"40.823252, 68.176349",435,2026,121,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2710,613839880,8,ВОЛС,Туркестанская область,Жетысайский,Ж.Ералиев (Арайский),с.Жана даур (Целина),"40.908166, 68.225537",653,2026,181,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"3,38","3,38","3,38"
2712,613871480,4,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,Ақбұлақ (с.Киров),"40.932756, 68.207301",195,2026,54,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"3,17","3,07","3,17"
2713,613871380,5,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,Ақжайлау (с.Гагарин),"41.016797, 68.123452",109,2026,30,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2719,613871280,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,с.Алгабас,"41.010534, 68.196869",657,2026,183,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"0,46","0,46","0,46"
2714,613871800,3,ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,Алтынкөл (с.Первомайское),"41.017043, 68.199216",655,2026,182,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"0,17","0,17","0,17"
2715,613871100,"2,5",ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,Датқа (с.9 мая),"40.954750, 68.204390",525,2026,146,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,3,"2,77",3
2716,613871580,"2,5",ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,Жалпаққұм (с.Комсомол),"41.011075, 68.209906",422,2026,117,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"0,16","0,16","0,16"
2717,613871980,7,ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,Қостақыр (с.60 лет Казахстан),"41.022036, 68.080638",253,2026,70,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"5,6","5,6","5,6"
2718,613871200,"2,5",ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,с.Актобе,"41.006917, 68.208720",790,2026,219,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"6,42","6,19","6,42"
2722,613871880,5,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,с.Кобек (Ленин жол),"40.959394, 68.181893",173,2026,48,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"2,31","2,26","2,31"
2720,613871900,10,ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,с.Енбекши,"41.024003, 68.170524",477,2026,133,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"0,739","0,739","0,739"
2721,613871500,"11,5",ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,с.Карасакал (Юбилейное),"41.041233, 68.138337",503,2026,140,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"4,84","4,84","4,84"
2724,613871680,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,с.Кызыл ту,"41.017472, 68.174726",465,2026,129,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2723,613871300,"2,5",ВОЛС,Туркестанская область,Жетысайский,Кызылкумский,с.Коскудык,"41.020723, 68.162475",655,2026,182,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"0,24","0,24","0,24"
2725,613871780,3,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,с.Макталы,"41.027300, 68.158783",586,2026,163,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2726,613871700,3,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,с.Молшылык,"41.023469, 68.154084",201,2026,56,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2727,613871600,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Кызылкумский,с.Туркебай,"41.007559, 68.221383",472,2026,131,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2731,613879700,3,ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Макталинский,с.Саркырама (Багарное),"40.933114, 68.201852",86,2026,24,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"0,17","0,17","0,17"
2728,613879200,7,ВОЛС,Туркестанская область,Жетысайский,Макталинский,с.Алтынсарин,"40.979372, 68.139379",993,2026,276,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"14,39","13,88","14,39"
2729,613879300,"2,5",ВОЛС,Туркестанская область,Жетысайский,Макталинский,с.Жайлау кол (Победа),"40.946694, 68.074491",190,2027,53,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"2,69","2,45","2,69"
2730,613879500,6,ВОЛС,Туркестанская область,Жетысайский,Макталинский,с.Жибек жолы,"40.978815, 68.083445",427,2027,119,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2735,613887200,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Жетысайский,Ынтымак,с.Агынсай (Енбекши),"40.841026, 68.286202",358,2026,99,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,,,
2732,613879800,3,ВОЛС,Туркестанская область,Жетысайский,Макталинский,с.Тын,"40.879295, 68.240952",922,2026,256,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"1,76","1,76","1,76"
2733,613879400,5,ВОЛС,Туркестанская область,Жетысайский,Макталинский,с.Шолпан кудык,"40.94327388946099, 68.10487344787632",340,2026,94,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"4,15","3,865","4,15"
2734,613879480,6,ВОЛС,Туркестанская область,Жетысайский,Макталинский,Теміржол (с.Железнодорож.),"40.921425, 68.114981",511,2026,142,,,,,,,,,,,,,0,В работе,,,0,0,15.02.2027,30.11.2027,"9,9","9,18","9,9"
2737,614033400,8,ВОЛС (Wi-Fi public),Туркестанская область,Казыгуртский,Алтынтобе,с.Карабау,"41.826533, 69.621569",78,2026,22,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2736,614033200,9,ВОЛС,Туркестанская область,Казыгуртский,Алтынтобе,с.Аккум,"41.778420, 69.683592",432,2026,120,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2758,614057400,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Казыгуртский,Шарапханский,с.Майлыошак,"41.828966, 69.407747",896,2026,249,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2738,614035500,8,ВОЛС,Туркестанская область,Казыгуртский,Жанабазарский,с.Женис,"41.872960, 69.791903",310,2026,86,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2739,614035200,"5,5",ВОЛС,Туркестанская область,Казыгуртский,Жанабазарский,с.Жылыбулак,"41.946657, 69.678589",1960,2026,544,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2740,614035700,3,ВОЛС,Туркестанская область,Казыгуртский,Жанабазарский,с.Карабастау,"41.910987, 69.675313",985,2026,274,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2741,614035800,"3,5",ВОЛС,Туркестанская область,Казыгуртский,Жанабазарский,с.Тилектес,"41.975823, 69.671160",859,2026,239,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2742,614036500,6,ВОЛС,Туркестанская область,Казыгуртский,Жигерген,с.Кызылбулак,"42.126525, 69.721214",361,2026,100,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2743,614036800,"31,9",ВОЛС,Туркестанская область,Казыгуртский,Жигерген,с.Угам,"41.913963, 70.017280",140,2027,39,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2744,614049200,"10,5",ВОЛС,Туркестанская область,Казыгуртский,К.Абдалиева,с.Амангелди,"41.976508, 69.232595",688,2026,191,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2745,614049500,7,ВОЛС,Туркестанская область,Казыгуртский,К.Абдалиева,с.Жанаталап,"42.003025, 69.719067",370,2026,16,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2746,614049700,10,ВОЛС,Туркестанская область,Казыгуртский,К.Абдалиева,с.Кызылдала,"42.155795, 69.410495",1028,2026,286,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2747,614043200,"2,5",ВОЛС,Туркестанская область,Казыгуртский,Какпакскии,Заңғар,"41.646688, 69.477123",377,2026,105,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2748,614043300,5,ВОЛС,Туркестанская область,Казыгуртский,Какпакскии,с. Сырлысай,"41.571401, 69.513604",875,2026,243,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2749,614045100,8,ВОЛС,Туркестанская область,Казыгуртский,Карабаускии,с.Карабау,"41.841390, 69.541459",970,2026,269,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2750,614047600,3,ВОЛС,Туркестанская область,Казыгуртский,Кызылкиянскии,с. Атажұрт,"41.678107, 69.390750",758,2026,211,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2751,614047100,8,ВОЛС,Туркестанская область,Казыгуртский,Кызылкиянскии,с.Тугыртас,"41.684151, 69.501264",241,2026,67,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2752,614053200,"5,5",ВОЛС,Туркестанская область,Казыгуртский,Турбат,с.Енбек,"41.785817, 69.581411",797,2026,221,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2753,614055100,"9,5",ВОЛС,Туркестанская область,Казыгуртский,Шанак,с.Шанак,"42.101322, 69.219945",1836,2026,510,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2754,614055500,"12,1",ВОЛС,Туркестанская область,Казыгуртский,Шанак,с.Ыза-булак,"42.021428, 69.027849",194,2025,54,,1,,,,,,,,,,,1,Подключено,временно спутник,1 Школа,1,0,15.05.2026,31.08.2026,,,
2755,614055300,10,ВОЛС,Туркестанская область,Казыгуртский,Шанак,ст.Шанак,"41.964098, 69.055454",465,2026,129,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2756,614055400,37,ВОЛС,Туркестанская область,Казыгуртский,Шанак,ст.Шанак,"41.971087, 69.038697",249,2026,69,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2757,614057200,31,ВОЛС,Туркестанская область,Казыгуртский,Шарапханский,с.Бака-булак,"41.951948, 69.006011",330,2026,92,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2765,613937380,1,ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Актобе,с.М.Горький (кендала),"41.158203, 68.752747",734,2026,204,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2759,614057600,7,ВОЛС,Туркестанская область,Казыгуртский,Шарапханский,с.Талдыбулак,"41.88951, 69.38114",447,2026,124,,,,,,,,,,,,,0,В работе,,,0,0,15.05.2026,31.08.2026,,,
2760,613937200,26,ВОЛС,Туркестанская область,Келесский,Актобе,с.Акжар,"41.069356, 68.691601",898,2026,249,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2761,613937100,3,ВОЛС,Туркестанская область,Келесский,Актобе,с.Жуантобе,"41.169585, 68.765187",972,2026,270,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2762,613937580,4,ВОЛС,Туркестанская область,Келесский,Актобе,с.Кия жол,"40.979455, 68.677965",765,2026,213,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2763,613937480,3,ВОЛС,Туркестанская область,Келесский,Актобе,с.Когерту,"41.110197, 68.701960",667,2026,185,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2764,613937780,5,ВОЛС,Туркестанская область,Келесский,Актобе,с.Куйган,"40.968827, 68.671326",1011,2026,281,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2766,613943400,4,ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Бирлесу,Берекелі (с Целинный),"41.153711, 68.773020",283,2026,79,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2767,613943300,1,ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Бирлесу,Дихан (Садовая),"41.122247, 68.785226",309,2026,86,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2768,613945600,"0,5",ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Бирлик,Косоткел Социализм,"41.212570, 68.632639",346,2026,96,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2769,613945300,2,ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Бирлик,с Коммунмзм (с Ащысай),"41.186226, 68.554939",174,2027,48,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2770,613945400,11,ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Бирлик,с.Куры озек,"41.116895, 68.547531",245,2025,68,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.04.2026,31.08.2026,,,
2771,613945500,1,ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Бирлик,с.Мадениет,"41.295818, 68.469473",128,2025,36,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.04.2026,31.08.2026,,,
2777,613941200,5,ВОЛС (Wi-Fi public),Туркестанская область,Келесский,Бозайский,с.Тартогай,"41.491172, 68.089481",108,2027,30,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2772,613945700,10,ВОЛС,Туркестанская область,Келесский,Бирлик,с.Уш агаш,"41.332154, 68.676340",496,2026,138,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2773,613947380,4,ВОЛС,Туркестанская область,Келесский,Биртилекский,Жабай-тобе,"41.402318, 68.869051",739,2026,205,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2774,613947680,7,ВОЛС,Туркестанская область,Келесский,Биртилекский,с.Игилик,"41.391542, 68.886900",1052,2026,292,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2775,613947700,3,ВОЛС,Туркестанская область,Келесский,Биртилекский,с.Курылыс,41.355592 68.969218,863,2026,0,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
2776,613947100,5,ВОЛС,Туркестанская область,Келесский,Биртилекский,с.Шырылдак,"41.412124, 68.885788",857,2026,238,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,31.08.2026,,,
