№,КАТО,Новая протяженность КТ при последовательном подключении,Технология,Область,Район,Сельский округ,Нас пункт,Координаты СНП,Население,ГОД,Домохозяйства,Акимат,Школа,"Больница (ФАП, СВА, ВА)",Полиция (ОП),Аварийная служба (МЧС),Отдел обороны (Военкомат),Погран служба,Отдел ветеринарии,Библиотека,Сельский клуб/ДК,Общественная точка доступа,Цон,Количество подключенных объектов факт,Статус в разрезе населенного пкунтка,Доп. статус ,Что подключено,Кол-во точек,ВСЕГО ГУ/БО,Начало СМР,Завершение СМР,Ориентировочная протяженность ВОЛС (км),Откопка/Закопка траншей(км),Прокладка микротрубки(км)
79,117055400,"36,22",ВОЛС,Акмолинская область,Бурабайский район,Атамекен с.о.,с. Жасыл,"52.789548, 70.29026",,2025,272,,1,,,,,,,,,,,1,Подключено,временно спутник,1 Школа,1,0,15.06.2026,30.11.2026,,,
80,117055900,"36,22",ВОЛС,Акмолинская область,Бурабайский район,Атамекен с.о.,с. Шиели,"52.915334, 70.119661",199,2026,53,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
81,117037400,10,ВОЛС,Акмолинская область,Бурабайский район,Веденовский с.о.,с.Карабулак,"52.478149, 69.326341",167,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
82,117049200,"36,22",ВОЛС,Акмолинская область,Бурабайский район,Зеленоборский с.о.,с. Молбаза,"53.092624, 70.327999",182,2026,45,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
83,117049180,4,ВОЛС,Акмолинская область,Бурабайский район,Зеленоборский с.о.,с.Жанаталап,"53.119519, 70.586049",153,2026,38,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
84,117049500,11,ВОЛС,Акмолинская область,Бурабайский район,Зеленоборский с.о.,с.Кумызынай,"53.134540, 70.485815",262,2026,59,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
85,117049600,12,ВОЛС,Акмолинская область,Бурабайский район,Зеленоборский с.о.,с.Мадениет,"53.037565, 70.634450",563,2026,140,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
86,117051600,,Спутник,Акмолинская область,Бурабайский район,Златопольский с.о.,с. Сотниковка,"52.812800, 69.983900",,2025,52,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
87,117051700,,Спутник,Акмолинская область,Бурабайский район,Златопольский с.о.,с. Тулькули,"52.717663, 69.608242",,2025,81,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
88,117051400,13,ВОЛС,Акмолинская область,Бурабайский район,Златопольский с.о.,с.Обалы,"52.773115, 69.685757",328,2026,94,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
89,117057500,12,ВОЛС,Акмолинская область,Бурабайский район,Катаркольский с.о.,с.Сосновка,"52.871959, 70.439480",172,2026,49,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
90,117053200,,Спутник,Акмолинская область,Бурабайский район,Кенесаринский с.о.,с.Брусиловка,"52.972236, 69.856626",,2026,57,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
91,117057300,"36,22",ВОЛС,Акмолинская область,Бурабайский район,Ктаркольский с.о.,с. Ключевое,"52.917778, 70.308927",59,2026,53,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
92,117055300,,Спутник,Акмолинская область,Бурабайский район,с.о. Атамекен,с. Жаркайын,"52.785246, 70.169985",,2025,89,,,,,,,,,,,1,,1,Подключено,,1 Публичный,1,0,,,,,
93,117055800,6,ВОЛС,Акмолинская область,Бурабайский район,с.о. Атамекен,с.Каражар,"52.683419, 70.276669",252,2026,82,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
94,117061500,"36,22",ВОЛС,Акмолинская область,Бурабайский район,Урумкайский с.о.,с. Кульстан,"52.6563, 69.959905",55,2026,21,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
95,117061600,17,ВОЛС,Акмолинская область,Бурабайский район,Урумкайский с.о.,с.Киндиккарагай,"52.598959, 70.082193",171,2026,42,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
96,117063800,4,ВОЛС,Акмолинская область,Бурабайский район,Успеноюрьевский с.о.,с.Райгородок,"52.517081, 69.693968",84,2026,30,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2026,30.11.2026,,,
97,111847300,"36,22",ВОЛС,Акмолинская область,г.Степногорск,Богембайский с.о.,с. Богембай,"52.44273, 72.320597",84,2026,26,,,,,,,,,,,,,0,В работе,,,0,0,15.03.2026,31.10.2026,,,
98,114435200,21,ВОЛС,Акмолинская область,Егиндыкольский район,Алакольский с.о.,с.Коркем,"51.167137, 69.791139",158,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
99,114435100,12,ВОЛС,Акмолинская область,Егиндыкольский район,Алакольский с.о.,с.Полтавское,"51.107672, 69.767055",413,2026,95,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
100,114441100,"36,22",ВОЛС,Акмолинская область,Егиндыкольский район,Буревестникский с.о.,с.Буревестник,"51.020869, 69.851326",,2026,59,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
101,114445200,,Спутник,Акмолинская область,Егиндыкольский район,Жалманкулакский с.о.,с. Жулдыз,"50.882558, 69.154844",63,2027,13,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
102,114445100,"10,6",ВОЛС,Акмолинская область,Егиндыкольский район,Жалманкулакский с.о.,с.Жалманкулак,"50.936632, 69.059434",83,2026,91,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
103,114446100,7,ВОЛС,Акмолинская область,Егиндыкольский район,Коржинкольский с.о.,с.Коржинколь,"51.113660, 68.966728",269,2026,43,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
104,114447200,15,ВОЛС,Акмолинская область,Егиндыкольский район,Узункольский с.о.,с.Тоганас,"50.872731, 70.092972",177,2026,91,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
105,114447100,24,ВОЛС,Акмолинская область,Егиндыкольский район,Узункольский с.о.,с.Узункольское,"50.938863, 69.915618",362,2026,15,,,,,,,,,,,,,0,В работе,,,0,0,15.06.2027,30.11.2027,,,
106,114635200,26,ВОЛС,Акмолинская область,Ерейментауский район,Бестогайский с.о.,с. Байсары,"51.960474, 72.660384",152,2026,44,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
107,114655300,"4,5",ВОЛС,Акмолинская область,Ерейментауский район,Еркиншиликский с.о.,с.Енбек,"51.418091, 72.746820",246,2026,40,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
108,114646200,"16,5",ВОЛС,Акмолинская область,Ерейментауский район,Койтасский с.о.,с.Ажы,"51.828709, 73.854353",270,2026,20,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
118,114659200,"34,22",ВОЛС (Wi-Fi public),Акмолинская область,Ерейментауский район,Тургайский с.о.,с. Нижний Торгай,"51.779000, 72.710800",,2025,113,,,,,,,,,,,1,,1,Подключено,временно спутник,1 Публичный,1,0,15.04.2026,30.11.2026,,,
110,114645100,31,ВОЛС,Акмолинская область,Ерейментауский район,Куншалганский с.о.,с.Куншалган,"51.132593, 73.087758",368,2026,30,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
111,114645300,8,ВОЛС,Акмолинская область,Ерейментауский район,Куншалганский с.о.,с.Шакей,"51.111868, 73.148870",96,2025,106,,,1,,,,,,,,,,1,Подключено,временно спутник,1 ФАП,1,1,15.04.2026,30.11.2026,,,
112,114647100,23,ВОЛС,Акмолинская область,Ерейментауский район,с.Аксуат,с.Аксуат,"51.204905, 72.594574",416,2026,56,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
113,114639100,19,ВОЛС,Акмолинская область,Ерейментауский район,с.Бозтал,с.Бозтал,"51.537136, 73.810228",633,2026,50,,,,,,,,,,,,,0,В работе,,,0,0,15.04.2026,30.11.2026,,,
114,114637200,,Спутник,Акмолинская область,Ерейментауский район,с.о. Олжабай батыра,с. Алгабас,"51.363620, 73.179278",,2027,56,,,,,,,,,,,,,0,В работе,,,0,0,,,,,
